2023-05-16 21:05:282 INFO  HomePage :66 - Verify Text from Webpage
2023-05-16 21:05:326 INFO  HomePage :73 - Click on terms and conditon [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: termsofservice]
2023-05-16 21:05:148 INFO  HomePage :80 - Click on checkout button [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //button[@id='checkout']]
2023-05-16 21:05:513 INFO  HomePage :42 - Click on register button [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> xpath: //button[text()='Register']]
2023-05-16 21:05:543 INFO  HomePage :54 - Verify Text from Webpage
2023-05-16 21:05:613 INFO  HomePage :60 - Send text to First name : [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: FirstName]
2023-05-16 21:05:752 INFO  HomePage :66 - Send text to Last Name : [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: LastName]
2023-05-16 21:05:940 INFO  HomePage :72 - Send text to email : [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: Email]
2023-05-16 21:05:53 INFO  HomePage :78 - Send text to password : [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: Password]
2023-05-16 21:05:478 INFO  HomePage :90 - Click on register [[ChromeDriver: chrome on WINDOWS (cc98cbcfdfe2fc79fd86e7d6d719b535)] -> id: register-button]
2023-05-16 21:05:982 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (47bdd44a5b5f687e1ec6340269e82332)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:262 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (9308e31eec75be021e886124338998d1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:315 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (793ba58a04682ac0be417e1207cada5f)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:175 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (28971fbc1c9d7b9efb91e9cd5d1f89c0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:892 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (7566bfb85147f6af75c3363d6f465ce0)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:507 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (048a598ce4a004e6a8d2454c34533869)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:161 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (0de1417297eb021e849e2aeefc7735d1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:841 INFO  HomePage :147 - Mouse hover on Cellphone and click [[ChromeDriver: chrome on WINDOWS (0de1417297eb021e849e2aeefc7735d1)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 21:05:814 INFO  HomePage :141 - Mouse hover on eletronics and click [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Electronics']]
2023-05-16 21:05:309 INFO  HomePage :147 - Mouse hover on Cellphone and click [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //ul[@class='top-menu notmobile']//a[normalize-space()='Cell phones']]
2023-05-16 21:05:416 INFO  CellPhonesPage :36 - Click on list view [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //a[contains(text(),'List')]]
2023-05-16 21:05:300 INFO  CellPhonesPage :42 - Click on product Nokia Lumia [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> css selector: div:nth-of-type(3) > .product-item h2 > a]
2023-05-16 21:05:335 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:369 INFO  HomePage :57 - Verify Text from Webpage
2023-05-16 21:05:516 INFO  HomePage :63 - Send text to quantity: [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: product_enteredQuantity_20]
2023-05-16 21:05:616 INFO  HomePage :69 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: add-to-cart-button-20]
2023-05-16 21:05:924 INFO  HomePage :75 - Verify Text from Webpage
2023-05-16 21:05:19 INFO  HomePage :81 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> css selector: span[title='Close']]
2023-05-16 21:05:213 INFO  HomePage :87 - Mouse hover on shopping cart [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //span[text()='Shopping cart']]
2023-05-16 21:05:675 INFO  HomePage :93 - Click on add to cart [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //button[text()='Go to cart']]
2023-05-16 21:05:717 INFO  HomePage :51 - Verify Text from Webpage
2023-05-16 21:05:782 INFO  HomePage :94 - Verify Text from Webpage
2023-05-16 21:05:814 INFO  HomePage :66 - Verify Text from Webpage
2023-05-16 21:05:889 INFO  HomePage :73 - Click on terms and conditon [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: termsofservice]
2023-05-16 21:05:282 INFO  HomePage :80 - Click on checkout button [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //button[@id='checkout']]
2023-05-16 21:05:926 INFO  HomePage :42 - Click on register button [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> xpath: //button[text()='Register']]
2023-05-16 21:05:956 INFO  HomePage :54 - Verify Text from Webpage
2023-05-16 21:05:54 INFO  HomePage :60 - Send text to First name : [[ChromeDriver: chrome on WINDOWS (cc8e6d882dbafd0849169ca6e4e78adf)] -> id: FirstName]
